Date,polarity,nlp_signal
3/11/19,0,0
3/12/19,-0.3,-1
3/13/19,0.5,1
3/14/19,0.136363636,1
3/15/19,0,0
3/18/19,0,0
3/19/19,0,0
3/20/19,0,0
3/21/19,0,0
3/22/19,0,0
3/25/19,0,0
3/26/19,0.25,1
3/27/19,0,0
3/28/19,0,0
3/29/19,0,0
4/1/19,0.366666667,1
4/2/19,0,0
4/3/19,-0.5,-1
4/4/19,0,0
4/5/19,0,0
4/8/19,0.4125,1
4/9/19,0,0
4/10/19,0.8,1
4/11/19,0.2,1
4/12/19,-0.5,-1
4/15/19,0.8,1
4/16/19,-0.15,-1
4/17/19,0,0
4/18/19,0.221590909,1
4/22/19,0.625,1
4/23/19,-0.166666667,-1
4/24/19,0.55,1
4/25/19,0.176190476,1
4/26/19,0.136363636,1
4/29/19,0,0
4/30/19,-0.5,-1
5/1/19,0,0
5/2/19,0.25,1
5/3/19,0.25,1
5/6/19,0,0
5/7/19,0,0
5/8/19,0,0
5/9/19,0,0
5/10/19,0.533333333,1
5/13/19,0,0
5/14/19,-0.155555556,-1
5/15/19,0,0
5/16/19,0.142424242,1
5/17/19,0,0
5/20/19,0.142424242,1
5/21/19,0.25,1
5/22/19,0,0
5/23/19,0.855,1
5/24/19,0.2,1
5/28/19,0.329761905,1
5/29/19,0,0
5/30/19,0.2,1
5/31/19,0,0
6/3/19,0,0
6/4/19,0.5,1
6/5/19,0.35,1
6/6/19,0,0
6/7/19,0,0
6/10/19,0.416666667,1
6/11/19,0.136363636,1
6/12/19,0.136363636,1
6/13/19,0.136363636,1
6/14/19,0.136363636,1
6/17/19,0.136363636,1
6/18/19,0.136363636,1
6/19/19,0.136363636,1
6/20/19,0.033333333,1
6/21/19,-0.5,-1
6/24/19,0.425,1
6/25/19,0,0
6/26/19,0,0
6/27/19,0.136363636,1
6/28/19,0.136363636,1
7/1/19,0.136363636,1
7/2/19,0.25,1
7/3/19,0,0
7/5/19,0,0
7/8/19,0,0
7/9/19,0.2,1
7/10/19,0,0
7/11/19,-0.125,-1
7/12/19,0,0
7/15/19,0,0
7/16/19,0,0
7/17/19,0,0
7/18/19,0.345454545,1
7/19/19,0,0
7/22/19,0,0
7/23/19,0.418181818,1
7/24/19,-0.4,-1
7/25/19,-0.146666667,-1
7/26/19,0,0
7/29/19,1,1
7/30/19,0,0
7/31/19,0.227272727,1
8/1/19,0,0
8/2/19,0,0
8/5/19,0,0
8/6/19,0,0
8/7/19,0.7,1
8/8/19,0,0
8/9/19,0.45,1
8/12/19,-0.155555556,-1
8/13/19,0,0
8/14/19,0,0
8/15/19,0.4,1
8/16/19,0,0
8/19/19,0,0
8/20/19,0,0
8/21/19,0.15,1
8/22/19,0,0
8/23/19,-0.116666667,-1
8/26/19,0,0
8/27/19,0,0
8/28/19,0,0
8/29/19,-0.5,-1
8/30/19,0.666666667,1
9/3/19,-0.291666667,-1
9/4/19,-0.5,-1
9/5/19,0.666666667,1
9/6/19,0.6,1
9/9/19,-0.181818182,-1
9/10/19,0,0
9/11/19,0,0
9/12/19,0,0
9/13/19,0.142424242,1
9/16/19,-0.3,-1
9/17/19,0.2,1
9/18/19,0,0
9/19/19,0,0
9/20/19,-0.1,-1
9/23/19,0,0
9/24/19,0,0
9/25/19,0.5,1
9/26/19,-0.5,-1
9/27/19,0,0
9/30/19,0,0
10/1/19,0,0
10/2/19,0,0
10/3/19,0.875,1
10/4/19,0.7,1
10/7/19,0.6,1
10/8/19,0.1,1
10/9/19,0,0
10/10/19,0,0
10/11/19,0.2,1
10/14/19,-0.15,-1
10/15/19,0.025,1
10/16/19,0,0
10/17/19,0.142424242,1
10/18/19,-0.5,-1
10/21/19,0,0
10/22/19,0.17047619,1
10/23/19,-0.037878788,-1
10/24/19,-0.037878788,-1
10/25/19,-0.5,-1
10/28/19,-0.5,-1
10/29/19,0,0
10/30/19,0,0
10/31/19,0.2,1
11/1/19,0.25,1
11/4/19,-0.5,-1
11/5/19,0,0
11/6/19,0,0
11/7/19,-0.5,-1
11/8/19,0.416666667,1
11/11/19,0.2,1
11/12/19,0,0
11/13/19,-0.5,-1
11/14/19,-0.5,-1
11/15/19,-0.5,-1
11/18/19,0,0
11/19/19,0.227272727,1
11/20/19,0,0
11/21/19,0.25,1
11/22/19,-0.5,-1
11/25/19,0.5,1
11/26/19,0.625,1
11/27/19,0,0
11/29/19,0,0
12/2/19,0.55,1
12/3/19,0.3,1
12/4/19,0,0
12/5/19,0,0
12/6/19,-0.5,-1
12/9/19,0.3,1
12/10/19,0.3,1
12/11/19,0,0
12/12/19,0.3,1
12/13/19,-0.146666667,-1
12/16/19,-0.5,-1
12/17/19,0,0
12/18/19,0.227272727,1
12/19/19,0.227272727,1
12/20/19,0,0
12/23/19,0.227272727,1
12/24/19,0.227272727,1
12/26/19,0,0
12/27/19,0,0
12/30/19,0,0
12/31/19,0,0
1/2/20,0,0
1/3/20,0.6,1
1/6/20,0,0
1/7/20,0.227272727,1
1/8/20,0.136363636,1
1/9/20,0,0
1/10/20,0.227272727,1
1/13/20,0,0
1/14/20,0,0
1/15/20,0.227272727,1
1/16/20,0,0
1/17/20,0.2,1
1/21/20,0.136363636,1
1/22/20,0.041666667,1
1/23/20,0.2,1
1/24/20,0,0
1/27/20,0.2,1
1/28/20,0.6,1
1/29/20,0.7,1
1/30/20,0.6,1
1/31/20,0.4,1
2/3/20,0,0
2/4/20,0.318181818,1
2/5/20,0,0
2/6/20,0,0
2/7/20,0.35,1
2/10/20,0,0
2/11/20,-0.125,-1
2/12/20,0.066666667,1
2/13/20,0,0
2/14/20,-0.5,-1
2/18/20,0,0
2/19/20,0,0
2/20/20,-0.075,-1
2/21/20,-0.4,-1
2/24/20,0,0
2/25/20,0,0
2/26/20,0.4,1
2/27/20,0,0
2/28/20,0.1,1
3/2/20,0.875,1
3/3/20,0,0
3/4/20,0.5,1
3/5/20,0.114814815,1
3/6/20,0,0
3/9/20,-0.125,-1
3/10/20,0.325,1
3/11/20,0,0
3/12/20,0.55,1
3/13/20,0,0
3/16/20,0,0
3/17/20,0,0
3/18/20,0.3,1
3/19/20,0,0
3/20/20,0,0
3/23/20,0,0
3/24/20,0,0
3/25/20,0,0
3/26/20,0,0
3/27/20,0,0
3/30/20,0,0
3/31/20,0,0
4/1/20,0.025,1
4/2/20,0.5,1
4/3/20,0,0
4/6/20,0.268181818,1
4/7/20,0,0
4/8/20,0.5,1
4/9/20,0.268181818,1
4/13/20,0.29,1
4/14/20,0.053125,1
4/15/20,0,0
4/16/20,0,0
4/17/20,0.156565657,1
4/20/20,0,0
4/21/20,0,0
4/22/20,0.5,1
4/23/20,0,0
4/24/20,-0.1875,-1
4/27/20,-0.125,-1
4/28/20,0,0
4/29/20,0.5,1
4/30/20,0,0
5/1/20,0,0
5/4/20,0,0
5/5/20,0,0
5/6/20,0,0
5/7/20,0,0
5/8/20,0.433333333,1
5/11/20,0,0
5/12/20,-0.747767857,-1
5/13/20,0.033333333,1
5/14/20,0,0
5/15/20,0.666666667,1
5/18/20,0,0
5/19/20,-0.3,-1
5/20/20,0.875,1
5/21/20,0.142424242,1
5/22/20,0.142424242,1
5/26/20,0,0
5/27/20,0.366666667,1
5/28/20,0,0
5/29/20,0,0
6/1/20,-0.291666667,-1
6/2/20,-0.05,-1
6/3/20,0.366666667,1
6/4/20,0,0
6/5/20,0,0
6/8/20,0.225,1
6/9/20,0.016666667,1
6/10/20,0,0
6/11/20,0.142424242,1
6/12/20,0,0
6/15/20,0,0
6/16/20,0,0
6/17/20,0,0
6/18/20,0.136363636,1
6/19/20,0,0
6/22/20,0,0
6/23/20,0.2,1
6/24/20,-0.045833333,-1
6/25/20,0.136363636,1
6/26/20,-0.2,-1
6/29/20,0,0
6/30/20,0.083333333,1
7/1/20,0,0
7/2/20,0,0
7/6/20,0,0
7/7/20,0,0
7/8/20,-0.145833333,-1
